Attachment size in more human-readable format. ##,enhancement+
"In account wizard, pre-populate the user name field with full mail address vs.user-name only. When setting up a new account, currently the user name field is pre-populated with the user-name part from the mail address entered at step one (the part before the @).But all mail accounts i have ever used since many years, now want the full mail address as user name.Am i using only untypical mail services? Or could the default be changed to pre-populating with the full mail address?",enhancement+
"Crash during reading of an email. I receive an email which crashes the app.After some research, I found that mBody for the file Version_texte.txt is null (LocalBodyPart with minetype ""text/plain"") and OpenPgpUtils.parseMessage crashes with a null value.I also tried a new email with this file but mBody is not null.So I think the issue is located in the loading process.You can find the mail here : . ",bug+
"Loop when decrypting PGP/MIME mail. Using the current master branch I'm trying to decrypt PGP/MIME mails using OpenKeychain.When I open the message, K9 correctly starts OpenKeychain which lets me enter my PIN and then asks me to hold my YubiKey NEO to the NFC scanner.After the decryption is done, I remove the key and OpenKeychain gives control back to K9 which in turn opens OpenKeychain again. This repeats forever. When I click ""Cancel"", it stops the loop but also crashes K9 (probably issue ##588).",bug+
"Serious drafts glitch since last update. I'm having an issue where if I create or edit a draft, it saves fine, and then shows up in the folder fine (with a preview of the message body), but when I click it from that folder view, it is blank when it opens. Nothing I can do after that will make it open correctly (ie refreshing the folder). The draft still appears on my other devices (pc) without error. If I make an edit then to the blank message, and it asks me to either save or discard, saving will still overwrite the correct draft, and discard will delete it from the server. If I simply click Back to go back to the folder list, and then open and re-save the draft on my pc, it will refresh  in k9 and I can open it ok. This issue is not happening every time I open drafts, but is often now. Had no issues prior to updating to the new version (a few weeks ago?), and has been happening ever since.",bug+
"Certain emails are not displaying (All white). I am signed up to get weekly emails from Goldstar.com with a list of discount events in my area. These emails are not properly displaying on K-9 and show up all white. At first the email may display but if I rotate my Samsung  Note 4 90 degrees, the email turns all white.   These emails use to display properly on k9.",bug+
"Incomplete sync with IMAP-Inbox. I have a somehow strange behaviour since a couple of weeks: The inbox of my imap-mail-account (at 1&1) is not correctly synced any more. With Thunderbird or the 1&1-Webmail, I can see all my mails, but K9 only shows a few. When I get new mails, K9 does not show most of them, only some.This seems to be limited to the inbox. Other IMAP-folders can be synced and seem to display all mails.I tried to clean up the inbox-folder (""expunge"" with K9 and according operations with thunderbird/webmail client), but no effect.I use the current version of K9 (v5.006) under Android 5.0 on two different Samsung devices. Is there any more information I should provide that could help?",bug+
"k9mail frequently crashes when deleting mail (bulk or individual) secure IMAP more than 1000 emails in inbox. When I set to sync IMAP with less than 100 emails, no problem. But I need to find older emails so I sync with approx 2500 emails in the inbox.I'm using an SSL IMAP connection. Frequently the app crashes. I'm running the latest version of k9mail on android 4.2.2 on a Samsung Galaxy Note 8 GT-N5100.I don't have root, so logs are inaccessible due to permissions.When I have time I'll connect to my Linux box and try to obtain logs for you.",bug+
"IMAP search and the trailing whitespace problem. Steps to reproduce:1. Find a mail that ends with a unique string from some time ago. So it is not local on the phone and you don't get confused by ""false positives"". 2. Go your account inbox3. Click on the search icon4. No local results. 5. Click on the IMAP search button (search glass + cloud)6. Wait and find nothing.Example: Email Subject: ""Pictures from Timbuktu""An IMAP search for ""Timbuktu"" returns the result. But a search for ""Timbuktu "" does not. This is a really big problem. Because many android keyboards easily add a trailing whitespace when you don't want it, or when you use the word completion to save a few letters typing. ",bug+
forward a mail with attachment failed . ##,bug+
"Viewing/saving inline images doesn't work. Long-pressing inline images displays a popup with items ""View image"" and ""Save image"". Both currently don't work.Since we no longer rewrite `cid:`-URIs to `content://`-URIs pointing to our content provider for attachments we need to change the code that handles viewing and saving inline images.See [`MessageContainerView.onCreateContextMenu()`](. ",bug+
"[bug] Delete doesn't update to imap server / IOException readStringUnti. Deleting an email in my inbox deletes it locally but does not delete it on the imap server.  It used to work.When I look at folders I see this message for inbox: IOException readStringUntiOr Exception: Message count -1This is a big deal for me.  The inbox is large, and I get lots of spam I want to delete.",bug+
[bug] deleting the last mail in thread view can cause all kinds of odd effects. #,bug+
email content with image can not open and save. ##,bug+
"Report a possible race issue. Hi, Developers of k9mail/k-9,I am writing to report a race issue on use of ConcurrentHashMap. The issue is reported by our tool in an automatic way. Although manually confirmed, it would be a false positive, given we do not know the specification of the program. We would very appreciate if you could check below for details and confirm with us whether it is a real problem. For more information, please refer to our website: . File: k9mail/k-9/k9mail/src/main/java/com/fsck/k9/controller/MessagingController.javaLocation: Line (4600/4603, 5131)Description: The get-then-put operations (line 4600, 4603) in method ""getNotificationData"" are synchronized on lock ""notificationData"". If the intention is to guarantee the atomicity of the get-then-put operations, then the remove operation in line 5130 may break this atomicity. Relying on the ConcurrentHashMap to ensure exclusive access is dangerous since ConcurrentHashMap has no guarantee of exclusive access.",bug+
"Plain appended PGP encrypted mails destroys mail body due OpenKeychain result. I had written a mail to service@oppodigital.com and the answer is visible for a second or less and will be overlain by the result of OpenKeychain.  The reasone seem to be that in the answer mail from oppodigital.com, there is a line with ""________________________________________"" and after this my orignal mail starting with ""From: bitstreamout bitstreamout@gmail.com"", the line with the Sent date as well as the To, the Subject line, an empty line , and the ""-----BEGIN PGP SIGNED MESSAGE-----"" causes that k9mail starts OpenKeychain to verify the signature (which is OK) but then erase the mail body with the result.  This I've tested also with the alpah version v5.107.  If required I can attach a compressed version of the orignal mail.bitstreamout",bug+
"Notification remains after email read/deleted using another device. When a new mail notification is displayed and another device (e.g. PC) used to read/delete the email, I would expect the K-9 notification to be removed on the next folder refresh, but it stays forever if not manually removed.",enhancement+
K9 &  Tasker. I have used Tasker for about 5 years now.  And K9 for about 2 or so.There is currently a Tasker plug in for K9.  I'd like to see that expanded.  I would like Tasker to be able to tell K9 to start/end quiet time (as opposed to requiring me to enter a time. ,enhancement+
"Support for ""multi window"" (side by side tiles). Just reviving this old issue from Google Code. Seems like the most recent version of k9 doesn't support this yet. Also seems to be suggested that this is quite easy to resolve. Old report: . Manifest change: . I would be more than happy to help test. Thanks for your work and consideration! ",enhancement+
Add online autoconfiguration from ISP. Implementing autoconfig mechanism to get IMAP/POP/SMTP parameters would be a great jump forward to new users get their account working in brief steps.developer.mozilla.org/docs/Mozilla/Thunderbird/Autoconfiguration,enhancement+
"Hide ""Load up to X more"" button. Hide ""Load up to X more"" button when there are no more messages on the server.",enhancement+
"adding a new email provider to account setup auto configuration. Hi,It seems my email provider domain name is not known to K9 account auto config.How do I add my email provider server configuration to happen automatically in K9 ?Is it based on .  ?Is .  implemented or maintained ?",enhancement+
Crash when modifying user for SMTP server. ##,bug+
"Checking mail notifcation stays forever if server is not reachabel. It happens from time to time that k9 mail is not able to reach the server and keeps the checking mail notification for ever. I observed this i.e. in wifi networks that have no uplink. Sometimes when i force k9 mail to pull mails in such a network (of course by mistake) that the ""cheking mail"" notification pops up and stays until i reboot the phone. Killing k9mail via the app settings dialog of android is not helping. It also stays there after k9 successfully pulled mails trough a different wifi network.I'm running k9 on an nexus 5 with android 5.1.1 the mail server on the other side is a dovecot imap on debian old stable. Latest k9 version tested is 5.006 from fdroid.",bug+
"Export folder-settings only works for top level folders. I have a folder structure with 3 or 4 levels of (sub-)folders in my IMAP account.After configuring all the folders (display class, sync class, push class, ...) I exported the settings and imported them on my new phone, but only the settings for the top level folders where transferred.I checked the k9s file and saw that only the top level folders where exported.I edited the file and added all my folders (with a script) and imported that file after clearing the K9 data. This time, all settings were imported.So the export skips sub-folders but the import (fortunately) does not.Sub-folders should also be exported.I tested this with v5.006 and v5.107 on Nexus 5 with stock Android 5.1.1.",bug+
password protection.. Please add an option to secure the mail accounts inside your app by adding a password/template protection in order to access your app.,enhancement+
"attached photos are replaced with duplicates. How was this bug caught:- started composing a mail- attached 4 photos using the standard attach feature of K9 (button)- K-9 showed as if it fully succeeded, a mail was sent and it has 4 photos attached inside.- The problem: all photos are copies of the last photo. They have identical contets, identical size but not identical names (names are correct).Expected:- fail to send the message or send 4 different attachments.Reproducible? - No. I could not reproduce the problem:- sending a message with the same 4 photos went OK. Photos have correct contents but the same names as in the first attempt.Verification, why trust this bug report:- the _names_ of the attachments are correct, these are 4 different photos. In case of a human mistake (attaching the same photo 4 times) there would be 4 identical names.",bug+
In the mail notifications some text fields are hardcoded to black. While the rest of the notification fonts adjust to the current theme the recipient or the subject is always displayed in black. This ruins the readability on dark system themes.Examples are attached.![screenshot_2015-08-12-12-28-12](. ![screenshot_2015-08-12-12-27-51](. ![screenshot_2015-08-12-12-27-05](. ![screenshot_2015-08-12-12-26-22](. ,bug+
"WhatsApp sharing problem (8-bit encoding). Using K9 from PlayStore, v5.006, Samsung Galaxy S5.Open a WhatsApp chat where you received an image. Push for a long time on image to select it, choose to share with K9.K9 will compose and send the message, but the image attachment is unreadable for the recipient.The problem does not appear when you single tap on a WhatsApp image to zoom it, and then share from here.Analyzing the received email: K9 is encoding the attachment with Content-Transfer-Encoding: 8bit, but I think the 8bit body is not correct, because it contains  in the wrong position, not permitted by MIME RFC 2045 . I think K9 should encode attachments in the usual base64 way.Also posted here [Google Code](. ",bug+
"My k9 does not verify Sign after download. If I compile K9 and install on my phone, select the OpenKeyChain provider, and my key and then receive a Signed Mail, K9 says me that the mail is signed but he does not have the key, so i presso ""lookup"", it searchs the key, download It (via OpenKeyChain) and when it turn back to K9, my mail is not ""signed"" yet, but if i exit the mail view fragment and re-open the mail, now it see the key on OpenKeyChain and verify the Sign, just like if It returns after download It does not refresh the fragment view.How can I fix that? please help, I'm going crazy .",bug+
k9 crashes using wrong signs . My k9 crashes when entering different combinations of characters to the recipient field of an email.Just typing a forward slash `/` to the _To_-field even does it.,bug+
Drafts of encrypted mails are saved in plaintext. #,bug+
"Text Selection broken on k9 mail 5.006 (latest available in Google store). After tapping on next inside email message, text selection indicators show up but they are broken. Choosing text with them  result in simultaneous scroll of screen. Replicable on both Samsung Galaxy Grand Neo JB 4.2.2 and LG 3G S 4.4 KitKat",bug+
"Support for SCRAM-SHA-1 authentication. The most secure authentication supported by K9 is currently CRAM-MD5, which has been cryptographically broken since 1996. Although it does have some worrying collision attacks, SCRAM-SHA1 would be a much better replacement, and is widely supported by many popular POP3 and SMTP daemons.",enhancement+
"Use voice dictation to compose emails. It would be very helpful in certain cases if you could compose emails using your voice (i.e: while driving, typing on a keyboard or using a pencil)",enhancement+
"Message temporarily unread after download. After pressing 'Download complete message' to retrieve a read message, that message will be rendered as unread until the next sync/refresh. Seen on 5.006. ",bug+
"Email Notifications on Android Watch. I love K-9 mail and love my new LG Urbane. I correctly get notifications for new email on the watch but when I select to delete it, the confirm delete notification pops up on the phone. So it is not possible to complete the entire delete email operation from the watch.This works correctly with the Gmail application but it doesn't have a confirm delete prompt. I suppose one option would be to disable the confirm delete dialog entirely or to disable it for just the phone.Working out the most desirable behavior for using a watch to dispatch the email is the first step. I have only had this watch a few weeks and am still getting used to it. K-9 I have used for a couple of years and am very happy with. AndroidWear is just a brave new world to figure out the Right Thing To Do (tm). :)",enhancement+
Add option not to store account passwords. To do this properly some architectural changes are required. We need…- a service to cache the passwords for some time- to prompt the user for a password when we need to connect to the server (and the password is not cached)See PR #288 for an attempt at implementing this feature.See also . ,enhancement+
"URL links open in K-9 instead of browser. Not sure what is going on, but just lately, URL links in emails want to open directly in K-9 instead of opening a browser - unless I long-press the link and choose ""open link"".  What happened?  I cleared all default actions for K-9 without anything changing.  K-9 5.005 on Lollipop 5.0.2 LG G2",bug+
Reply encrypted emails. ,bug+
(Optionally) Disable notifications in Quiet Time. I use quiet time to ignore work e-mails at night. However I can still see the notifications and then I 'must' read the emails. Can this be optionally disabled?,enhancement+
"screen rotation bug with encrypted message. Decryption works correctly, but when the screen is rotated, the decrypted text disappears and the message is decrypted again.",bug+
".life (dot)life domains not accepted. Hello,Just tried to add my email using your add account function and putting in for example test@gpl.life and I can not continue. The next and Manual entry buttons are greyed out.  If i put .com as the email I can continue.  Can you add .life so I can add my email accounts to K-9. ",bug+
"K9-Mail crashes when touching area of attached mail and quickly trying to type. What steps will reproduce the problem?1. Tap in the reply area, so the keyboard opens2. Tap in the area of the attached message3. quickly start typing before the keyboard disappears -> K9mail has stopped working.What do you expect to have happen?- No crash, or that keyboard disappears more quickly, or that current message gets saved before K9-Mail crashes.What version of K-9 are you using?- 5.005What is your device and what version of Android are you using?- Fairphone FP1 (MT6589 chipset)- Android 4.2.2What else should we know?- The crash produces no entry in the log (using CatLog on the rooted phone).- We have discussed this in the Fairphone Forum and the issue seems quite reproducible: . ",bug+
"Add support for GCM cipher suites. The current list of cipher suites leaves out the GCM cipher suites, which are more secure than the CBC cipher suites, as they avoid the inherent issues with verifying padding.  In fact, HTTP/2 explicitly forbids non-AEAD cipher suites.  k-9 is the largest user of non-GCM cipher suites on my network, so it would be nice if they could be added to the list.",enhancement+
HTML code in message preview. Preview (in message list and in notification) of HTML-only messages contains html code obscuring the real content.,bug+
Wrong file attachments from image sended from whatsup. If i send a picture with whatsup and select K9-mail as email client email are correctly sent but image are not visible because is broken.. only a lot of code is send.,bug+
"Deleting message(s) from notification unnecessarily unlocks the phone. I believe the title is pretty self-explanatory, but nonetheless I'll try to describe this issue briefly:Steps to reproduce:1. Mail arrives while phone is locked2. Expand the notification and hit the delete button3. Message is deleted and phone ",enhancement+
"Automatically detect and use special folders. Don't create new ones. Currently when setting up K-9 Mail newly, shortly afterwards I will find myself with second folders for Sent, Junk, Drafts and Trash. (At least that is the case for me where my mail server uses special folders named in English, and my Android is set to French. K-9 Mail creates new French special folders.)I need to manually go into the settings and plug them in correctly. Instead, K-9 should automatically use the existing special folders.",bug+enhancement+
"Case sensitivity problem in account>folders settings. I have an IMAP account with two directories, one named ""Spam"", and other named ""spam"".In K9Mail I go to Account Preferences, Folders, Spam folder, and try to choose the lower case ""spam"".After that, marking a message as spam, K9Mail will still move it to the ""Spam"" folder, instead of ""spam"".I suppose the problem is case sensitivity?",bug+
Add android wear support. Gmail has the possibility to answer with predefined answers or voice. Something similar would be awesome.,enhancement+
"Resource leak -- file not closed -- found by Facebook's static analyzer. Hello,This resource leak report, included with comments below, were found by runningFacebook's Infer static analyzer on K-9.Regards,Dulma RodriguezFacebook Static Analysis Tools TeamFile: k9mail/src/androidTest/java/com/fsck/k9/helper/HtmlConverterTest.javaReport: Resource Leak: resource acquired by call to FileWriter(...) at line 143 is not released after line 147.Remarks: The problem seems to be that out.write(...) can throw an exception, in which case out.close() won't get called. A simple fix is to put the call to close in a finally clause.",bug+
"Account setting ""Delete from Server"" lost after SSLError. Hi,ever and anon I get an SSLCertificate error with my provider gmx.net.When this happens the account settings changes and mails will be no longerdeleted from the mail server after they are deleted localy. I have to change the settings by hand back.regardsdieter",bug+
"Account listed multiple times. I have three email accounts, which were before listed like this:```AccountAAccountBAccountC```After long-pressing the last account and choosing ""Move up"", I got two copies of the account that I tried to move, like this:```AccountAAccountCAccountBAccountC```This state persisted after restarting the app (I think, the app was not listed in task manager), but problem went away after restarting phone, and `AccountC` is now in the middle as expected. Problem is not reproducible, I can now move them around as I please. When I had the problem I moved the account shortly after creating it. 5.004 4.4.2Phone: LG G2",bug+
"Folder listed multiple times. While figuring out #613 I noticed three folders named ""Outbox"". One was the remote folder but two entries led to the same local folder. After trying 'recreate' on the account's data, I ended up with triplicate entries for the spam folder. I ended up deleting and re-creating the account; it's working fine now. Still wanted to report the behavior though. ",bug+
"Message displays only single line. When reading through messages in inbox via IMAP, I typically tap archive to move to next item. Frequently, K9 shows the next message nearly blank with only one line of text visible.  Swiping up/down scrolls the message through this one line area. Tapping previous, then next causes the message to be displayed normally. Currently on Android 5.0.2 on Nexus 7 and K9 5.004. Please let me know what additional info would be helpful.",bug+
"[bug] Attachments showing up on the wrong email. I have 2 emails which both have an attachment called `external_0.jpg`.When viewing these messages, k9 usually shows the wrong image for at least one of them.I suspect that `FileHelper.createUniqueFile` is subject to a race condition when downloading messages and needs a mutex - I'm running on the quad-core Galaxy Note 2.",bug+
"text_flowed is not supported. I'm not sure if this is the right place to post this issue, but `text_flowed` or `format=flowed` doesn't seem to be respected by k9-mail. This makes the formatting of text quite awkward when reading e-mail sent by clients that support this feature (Thunderbird, mutt).This is probably the same as [issue 6327](.  on Google Code, but since that platform is closing, it's good to have it here. Basically, the headers in K9 show:> Content-Type: text/plain; charset=utf-8while the headers of the sent message in a different e-mail client will show:> Content-Type: text/plain; charset=utf-8; format=flowedI am using version 5.004 from F-Droid.",enhancement+
